sector_id,sector_name,backward_linkage,forward_linkage,is_key_sector,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
96,"Communication
 equipment",1.9278199908516822,1.8400559871981366,False,0.5923076923076923,0.006183550710644028,0.5081961706415855,0.12066003130014784,0.007931946280957407
97,Ships and boats,2.017552981890025,2.1134928276110583,False,0.27692307692307694,0.0007156660484035497,0.49312255541069105,0.08759153479319422,0.005229709738290656
98,Rail equipments,2.1307875562651297,2.8113997111438818,False,0.4307692307692308,0.003663215844472164,0.5037962037962037,0.11422854409240225,0.0070229927539196945
99,Motor vehicles,2.7320132195415225,2.079883898938175,False,0.6153846153846154,0.007545563491577499,0.5195398351648352,0.13243181525073222,0.008103411312445487
100,Motor cycles and scooters,2.840187876277473,1.47297999949243,False,0.4307692307692308,0.004050129005763461,0.5149421375085091,0.11435809098028435,0.007123047005575895
101,"Bicycles, cycle-rickshaw",2.706873681969811,1.0749238038045554,False,0.27692307692307694,0.0,0.5120213120213121,0.11829365279146038,0.0498821110984918
102,"Other transport
 equipments",2.2357377440184756,1.0582969756306144,False,0.3615384615384616,0.00403652968658471,0.5195398351648352,0.11707483790379439,0.007298679712655898
103,Aircraft & spacecraft,1.5212281384492252,1.2925907114631277,False,0.14615384615384616,1.687613718025167e-05,0.4711616318903768,0.05199685603545492,0.005942965261769899
104,"Medical, precision&optical
 instru.s",3.1312076202361303,1.4919412159707675,False,0.5076923076923077,0.003075370281358667,0.5463705308775731,0.1601870155639296,0.012501596221141666
105,Jems & jewelry,4.198381023864932,2.322813487981855,False,0.26153846153846155,0.0008330875364797955,0.46365307998774136,0.05862502636882554,0.005218167697403457
106,"Miscellaneous
 manufacturing",3.2505731072320483,2.419245311070312,False,0.8461538461538463,0.028649626368461346,0.5704751131221719,0.17202348140892956,0.013809228059543028
107,"Construction and
 construction services",2.397882484435348,5.065799801045241,False,1.0153846153846153,0.0483639378824487,0.5126736699423924,0.10254088606394622,0.010263774321784875
108,Electricity,2.280380073475559,9.535949990398828,False,1.0384615384615385,0.021722648202385005,0.49733727810650885,0.06642819013441661,0.005454219426249274
109,Water Supply,2.5246648214375567,2.4380435961742606,False,0.42307692307692313,0.005984728285403295,0.4952209492635024,0.0732375175450881,0.005047891937903026
110,Railway Transport,1.71334708956352,2.6575737406283864,False,0.8153846153846154,0.016089927429845854,0.4849038461538461,0.06037445271838479,0.00521291334075846
111,Land transport,2.125515804234678,9.905801033949652,False,1.076923076923077,0.017299489003059682,0.48089637635092175,0.060810049585146964,0.004155556987542738
112,Water Transport,2.3953626973721183,1.213233608703902,False,0.36923076923076925,0.006187087016560575,0.48693273253942704,0.06677788849780403,0.006064097102285697
113,Air transport,2.6147703714109456,10.159682599208006,True,0.6615384615384616,0.012315852003205102,0.48289179699968077,0.058702887861269454,0.006176000783891879
114,"Supportive and Auxiliary
 transport activities",2.0838054629945106,1.431253790521755,False,0.8153846153846154,0.010651924932606006,0.48289179699968077,0.0628219799667711,0.003886393387639483
115,Storage and warehousing,2.275847500821926,4.061400022846314,False,0.3076923076923077,0.0040629502938427965,0.49733727810650885,0.07598421034894669,0.006119538146962182
116,Communication services,2.1262286338699887,17.277729906297616,False,0.5153846153846154,0.004800933066624204,0.4711616318903768,0.06518702880130163,0.0048479118357247965
