source_sector,target_sector,input_coefficient,input_value
Other liv.st. produ.,"Public administration and
 defence",0.004400442180883304,432699.0
Animal Services,Paddy,0.04614531605612382,1052479.0
Animal Services,Wheat,0.011457481805717058,167209.0
Animal Services,Jowar,0.22846554402373376,350778.0
Animal Services,Bajra,0.02967484522194255,46038.0
Animal Services,Maize,0.060741817067734113,163367.0
Animal Services,Gram,0.04133628267042584,139108.0
Animal Services,Pulses,0.06522109165803061,399259.0
Animal Services,Sugarcane,0.01023454311549188,76635.0
Animal Services,Groundnut,0.030093269121854192,91126.0
Animal Services,Other oilseeds,0.05080252434460729,370518.0
Animal Services,Jute,0.07776301710768344,51746.0
Animal Services,Cotton,0.05598019122724095,348913.0
Animal Services,Tobacco,0.009759024582045594,10474.0
Animal Services,Fruits,0.018124977948454163,351378.0
Animal Services,Vegetables,0.020215684343913427,505082.0
Animal Services,Other crops,0.03886997742722883,1422222.0
Animal Services,Water Supply,0.02983404744673494,328387.0
Forestry and Logging,"Miscellaneous food
 products",0.011085178607957831,467383.0
Forestry and Logging,"Grain Mill products, starch and starch products",0.002261236491251323,62784.0
Forestry and Logging,Tobacco Products,0.08626530289157532,528557.0
Forestry and Logging,"Jute, hemp, mesta textiles",0.0017352687778356699,2711.0
Forestry and Logging,"Miscellaneous textile
 products",0.0017836891299533135,15761.0
Forestry and Logging,"Wood and wood products
 except furniture",0.11716682868352638,863232.0
Forestry and Logging,"Paper, Paper products and
 newsprint",0.02066028398453386,251218.0
Forestry and Logging,"Publishing, printing and
 allied activities",0.0016963565846356433,6150.0
Forestry and Logging,Furniture & Fixtures,0.049387360346517986,409080.0
Forestry and Logging,Rubber products,0.007243482914668184,85538.0
Forestry and Logging,Plastic products,0.056564609577144626,1235613.0
Forestry and Logging,Inorganic heavy chemicals,0.0028836160562124746,54992.0
Forestry and Logging,Organic heavy chemicals,0.007858329527249063,245077.0
Forestry and Logging,Pesticides,0.002572482773152569,8607.0
Forestry and Logging,"Paints, varnishes and
 lacquers",0.01622777244963584,98206.0
Forestry and Logging,"Soaps, cosmetics &
 glycerin",0.0045171778260839224,38188.0
Forestry and Logging,"Synthetic fibers, resin",0.03465028227942164,325335.0
